Episode,Tommy,Missy,Molly,Janet,Elaine,Karishma,Jack,Vince,Elizabeth,Chelsea,Lauren,Tom,Kellee,Jamal,Jason,Aaron,Noura,Dan,Dean
Episode 1,4.06,3.92,3.82,3.45,3.35,3.3,3.1,3.03,2.97,2.88,2.84,2.83,2.65,2.49,2,1.64,1.59,1.45,1.41
Episode 2,4.34,4.26,,2.76,2.62,2.51,2.91,2.49,2.24,3.28,3.11,2.15,3.48,1.7,2.81,1.77,1.45,1.51,1.19
Episode 3,4.39,4.01,,2.87,2.17,2.21,3.37,,2.51,3.04,2.26,1.72,3.22,1.79,3.03,1.85,1.26,1.49,1.4
Episode 4,4.49,3.2,,2.26,2.48,1.71,2.87,,3.17,,2.31,1.45,3.94,2.42,3.49,2.19,1.17,1.43,1.44
Episode 5,4.47,2.95,,2.16,2.45,1.58,2.38,,2.52,,1.92,,4.29,2.43,3.34,2.63,1.26,1.35,1.7
Episode 6,4.19,3.01,,1.54,3.06,1.33,2.44,,2.86,,1.74,,4.04,3.06,1.26,2.73,1.24,1.33,1.74
Episode 7,3.75,3.93,,2.52,2.84,1.38,,,2.66,,2.29,,4.71,1.98,,2.35,1.57,1.02,1.55
Merge,4.28,2.76,,3.22,2.54,1.99,,,1.8,,1.95,,,,,1.78,1.79,1.01,1.77
Episode 10,4.44,,,3.32,2.86,3.34,,,1.68,,2.08,,,,,,2.31,1.08,1.93
Episode 11,4.49,,,2.7,2.49,3.49,,,,,2.44,,,,,,2.49,1.08,1.7
Episode 12,4.73,,,2.55,2.47,,,,,,2.52,,,,,,1.57,1.08,1.35
Episode 13,4.7,,,2.79,,,,,,,2.44,,,,,,1.78,,2.08
Finale,,,,,,,,,,,,,,,,,,,